pen,time period,Species,Study,Diet,"average 
feed intake, g/d","average feed intake, g","average 
feed intake, g/d",bodyweightgain,akp,alt,glucose,nefa,pip,tc,tg,trap,uric acid,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS,COHESIVENESS,GUMMINESS,RESILIENCE,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS
1,3-6 weeks,broiler chicken,broiler AST,0.5% P-1,0.00,0,60.78,34.04614,50.57188,1.416268,,433.2667,0.9956048,56.13497,14.15043,0.4645987,312.4095,,,,,,,,,,,,,,,,,,,,,,,,,
2,3-6 weeks,broiler chicken,broiler AST,0.5% P-1,108.87,2286.2196,168.70,48.74442,33.4847,2.511962,10.8098,970.2488,1.219517,55.17885,22.41099,0.5753414,170.8921,,,,,,,,,,,,,,,,,,,,,,,,,
3,3-6 weeks,broiler chicken,broiler AST,0.5% P-1,119.39,2507.0976,179.04,51.97592,36.80812,,8.89195,1478.432,1.036549,56.0898,,0.3934387,259.3405,,,,,,,,,,,,,,,,,,,,,,,,,
4,3-6 weeks,broiler chicken,broiler AST,0.5% P-1,122.98,2582.58,193.11,49.43394,58.5485,2.019139,8.3898,745.5563,1.198406,48.38062,,0.5713387,112.6635,,,,,,,,,,,,,,,,,,,,,,,,,
5,3-6 weeks,broiler chicken,broiler AST,0.5% P-1,134.93,2833.4397,208.06,59.79557,,,10.3984,644.7597,0.6379845,60.62196,19.10676,0.5197477,107.7497,,,,,,,,,,,,,,,,,,,,,,,,,
6,3-6 weeks,broiler chicken,broiler AST,0.5% P-1,106.16,2229.3936,172.91,43.12299,55.18156,4.272727,10.40042,629.1602,1.305244,72.6525,,0.4116734,330.3449,,,,,,,,,,,,,,,,,,,,,,,,,
1,3-6 weeks,broiler chicken,broiler AST,0.08% P-2,117.77,2473.1595,189.21,52.840685,15.88746,,8.61365,439.1165,1.113319,71.45547,17.55791,0.3609719,215.6077,,,,,,,,,,,,,,,,,,,,,,,,,
2,3-6 weeks,broiler chicken,broiler AST,0.08% P-2,103.10,2165.0202,173.30,44.242635,52.85851,,8.109484,951.4995,0.948903,82.42449,14.40857,0.4766069,134.0386,,,,,,,,,,,,,,,,,,,,,,,,,
3,3-6 weeks,broiler chicken,broiler AST,0.08% P-2,0.00,0,76.39,61.5448,54.14021,2.593302,9.069417,,0.7960027,51.36943,9.211302,0.3614167,275.8017,,,,,,,,,,,,,,,,,,,,,,,,,
4,3-6 weeks,broiler chicken,broiler AST,0.08% P-2,113.49,2383.29,176.12,47.907455,48.53725,2.028708,9.071433,550.1129,1.116518,59.79382,24.02868,0.6767444,322.7285,,,,,,,,,,,,,,,,,,,,,,,,,
